open,high,low,close,volume,open_time,close_time,MACD,MACD_signal,MACD_hist,CCI,CCI_scaled,CCI_wma,INV1,RSI,RSI_scaled,RSI_wma,INV2,lowest_low,highest_high,stoch,stoch_scaled,stoch_wma,INVLine,AVINV,Fibonacci_236,Fibonacci_382,Fibonacci_50,Fibonacci_618,Fibonacci_786,macd_signal,buy_signal,sell_signal
1.033,1.035,1.013,1.015,119134.3,2024-10-26 07:00:00+03:00,2024-10-26 10:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
1.015,1.029,1.008,1.022,205632.5,2024-10-26 11:00:00+03:00,2024-10-26 14:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
1.021,1.023,0.969,0.976,312451.4,2024-10-26 15:00:00+03:00,2024-10-26 18:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.975,0.992,0.974,0.991,161444.1,2024-10-26 19:00:00+03:00,2024-10-26 22:59:59.999000+03:00,,,,,,,,,,,,,,,,,,,,,,,,Hold (Hala Buy),False,False
0.989,0.997,0.986,0.987,70421.3,2024-10-26 23:00:00+03:00,2024-10-27 02:59:59.999000+03:00,,,,-38.31832045049372,-0.9579580112623431,,,30.555555555555657,-1.9444444444444344,,,0.969,1.035,27.27272727272732,-2.272727272727268,,,,,,,,,Hold (Hala Buy),False,False
0.987,0.994,0.984,0.99,76756.2,2024-10-27 03:00:00+03:00,2024-10-27 06:59:59.999000+03:00,,,,-12.427067329543592,-0.3106766832385898,,,33.33333333333343,-1.6666666666666572,,,0.969,1.029,35.000000000000064,-1.4999999999999938,,,,,,,,,Hold (Hala Buy),False,False
0.991,0.992,0.975,0.977,34641.9,2024-10-27 07:00:00+03:00,2024-10-27 10:59:59.999000+03:00,,,,-66.75686998746151,-1.6689217496865378,,,22.22222222222223,-2.7777777777777772,,,0.969,1.023,14.814814814814843,-3.5185185185185155,,,,,,,,,Hold (Hala Buy),False,False
0.977,0.981,0.964,0.969,62359.9,2024-10-27 11:00:00+03:00,2024-10-27 14:59:59.999000+03:00,,,,-96.86894248281465,-2.4217235620703663,,,41.86046511627907,-0.8139534883720927,,,0.964,0.997,15.151515151515152,-3.4848484848484844,,,,,,,,,Hold (Hala Buy),False,False
0.969,0.984,0.969,0.98,131684.0,2024-10-27 15:00:00+03:00,2024-10-27 18:59:59.999000+03:00,,,,-4.804999801042666,-0.1201249950260666,,,35.8974358974359,-1.4102564102564104,,,0.964,0.997,48.48484848484848,-0.1515151515151515,,,,,,,,,Hold (Hala Buy),False,False
0.98,1.018,0.98,1.016,200088.5,2024-10-27 19:00:00+03:00,2024-10-27 22:59:59.999000+03:00,,,,108.57908190941296,2.714477047735324,,,70.4225352112676,2.04225352112676,,,0.964,1.018,96.29629629629628,4.629629629629629,,,,,,,,,Hold (Hala Buy),False,False
1.017,1.034,1.01,1.021,201199.6,2024-10-27 23:00:00+03:00,2024-10-28 02:59:59.999000+03:00,,,,78.73185515799558,1.9682963789498895,,,71.23287671232873,2.123287671232873,,,0.964,1.034,81.42857142857127,3.1428571428571277,,,,,,,,,Hold (Hala Buy),False,False
1.021,1.024,0.982,0.982,83889.8,2024-10-28 03:00:00+03:00,2024-10-28 06:59:59.999000+03:00,,,,-33.14725451932271,-0.8286813629830677,,,52.52525252525253,0.2525252525252533,,,0.964,1.034,25.714285714285715,-2.428571428571429,,,,,,,,,Hold (Hala Buy),False,False
0.983,1.0,0.971,0.995,130197.4,2024-10-28 07:00:00+03:00,2024-10-28 10:59:59.999000+03:00,,,,-13.357405755311394,-0.3339351438827849,-0.217694231273838,-0.2143192935508111,62.50000000000003,1.2500000000000029,-0.3272258158480536,-0.3160258507459175,0.969,1.034,40.0,-1.0,-0.7315215648548984,-0.6239953446959063,-0.3847801629975449,,,,,,Hold (Hala Buy),False,False
0.994,1.0,0.984,0.992,108943.1,2024-10-28 11:00:00+03:00,2024-10-28 14:59:59.999000+03:00,,,,-36.93840896008774,-0.9234602240021936,-0.2138611438004881,-0.2106592815711435,56.250000000000014,0.6250000000000014,-0.0417319886875607,-0.0417077793137504,0.971,1.034,33.333333333333336,-1.6666666666666663,-0.6641814975148316,-0.5811394520990039,-0.2778355043279659,,,,,,Hold (Hala Buy),False,False
0.992,1.004,0.974,0.978,171922.9,2024-10-28 15:00:00+03:00,2024-10-28 18:59:59.999000+03:00,,,,-61.788841426383854,-1.5447210356595964,-0.3509771829583776,-0.3372418754628921,24.32432432432425,-2.567567567567575,-0.1418320887876627,-0.1408886320466215,0.971,1.034,11.11111111111111,-3.888888888888889,-0.9296135962802644,-0.7304136912372695,-0.4028480662489277,,,,,,Hold (Hala Buy),False,False
0.978,1.0,0.968,0.99,255213.2,2024-10-28 19:00:00+03:00,2024-10-28 22:59:59.999000+03:00,,,,24.31925310820835,0.6079813277052089,-0.0979879521370725,-0.097675536987982,30.86419753086423,-1.913580246913577,-0.0458101409138627,-0.0457781225433346,0.968,1.024,39.285714285714285,-1.0714285714285716,-0.6577147132702705,-0.5768405542585382,-0.2400980712632849,,,,,,Hold (Hala Buy),False,False
0.99,1.018,0.988,1.004,154562.3,2024-10-28 23:00:00+03:00,2024-10-29 02:59:59.999000+03:00,,,,86.60326769999575,2.165081692499894,0.411657076148512,0.3898787788741355,69.64285714285714,1.964285714285714,0.2628831038258936,0.2569902139320076,0.968,1.018,72.0,2.2,-0.0260648816204389,-0.0260589805878632,0.2069366707394266,,,,,,Hold (Hala Buy),False,False
1.003,1.044,1.003,1.043,98951.8,2024-10-29 03:00:00+03:00,2024-10-29 06:59:59.999000+03:00,,,,110.86240408482068,2.771560102120517,0.7329554202759101,0.6248701162845681,79.2682926829268,2.92682926829268,0.7447815125535704,0.632025351964414,0.968,1.044,98.68421052631564,4.8684210526315645,0.5317058077291962,0.4866839389196143,0.5811931357228656,,,,,,Hold (Hala Buy),False,False
1.043,1.085,1.039,1.065,876776.2,2024-10-29 07:00:00+03:00,2024-10-29 10:59:59.999000+03:00,,,,88.95683968082525,2.2239209920206315,0.6784491918631664,0.5905102827271915,86.13861386138612,3.613861386138612,0.9194046086659984,0.7256156295660605,0.968,1.085,82.9059829059829,3.2905982905982896,0.3829245478368251,0.3652445730504477,0.5604568284478999,,,,,,Hold (Hala Buy),False,False
